source.name,title,description
Aargauerzeitung.ch,Weissensteintunnel - Spezielles Gerichtsurteil: Baukonzern Implenia verliert 66 Millionen Franken wegen eines Rechenfehlers | Aargauer Zeitung - Aargauer Zeitung,Die Bahngesellschaft BLS lässt den Weissensteintunnel sanieren und hat den Bauauftrag an Implenia erteilt. Doch nun erstreitet sich ein österreichischer Konzern den Zuschlag vor Gericht.
Tagesanzeiger.ch,Zahlungsmittel hat ausgedient - Schweizer Nationalbank ruft alte Banknoten zurück - Tages-Anzeiger,Die 8. Banknotenserie der Schweiz verliert per 30. April 2021 ihren Status als gesetzliches Zahlungsmittel.
Bluewin.ch,Gericht bestätigt Manipulation von Stimmzetteln - bluewin.ch,"Damien Piller stand im Verdacht, sich mit Firmengeld bereichert zu haben. Er sollte deshalb bei einer Vertrauensabstimmung abgewählt werden. Der einflussreiche Migros-Regionalpräsident verhinderte dies mit unlauteren Mitteln."
Google News,"Apples eiserne Faust: Konzern sperrt Apps, die Belohnungen für Tracking versprechen - digitec",
Www.nzz.ch,Der Tesla-Gigafabrik in Grünheide bei Berlin droht Verzögerung - Neue Zürcher Zeitung,Der Tesla-Chef Elon Musk zieht derzeit im deutschen Grünheide in Rekordzeit eine Gigafactory hoch. Doch nun hat der Elektroautohersteller das Projekt erneut geändert. Das hat Folgen für den Starttermin.
Watson.ch,Auch Spotify kündigt Bezahl-Modell für Podcasts an - watson,Wenige Tage nach Apple hat auch der Musikstreaming-Marktführer Spotify ein Abo-Modell für Podcasts vorgestellt. Dabei kündigte Spotify am Dienstag …
Finanzen.ch,Cash-Alternative : Tesla verkauft Bitcoins: Musk-Tweet sorgt für Wirbel in Krypto-Community - finanzen.ch,"Dass Tesla einen Teil seiner Bitcoins liquidiert hat, kam am Kryptomarkt zunächst nicht gut an. Ein Erklärungsversuch von Elon Musk schürte unterdessen erneut Spekulationen."
20 Minuten,"Analoger Messenger - Enkel baut Oma (96) Apparat, damit sie Telegram nutzen kann - 20 Minuten","Damit die 96-jährige Felisa Romano Martin mit ihren Enkelkindern einfach chatten kann, hat ein Spanier eine geniale Maschine gebaut: das Yayagram. Auf Twitter erhält er viel Lob dafür."
Finews.ch,UBS-Chefjuristin Barbara Levi: Aktenzeichen ungelöst - finews.ch,Die neue General Counsel der UBS Barbara Levi lässt beim Minenkonzern Rio Tinto prominente Rechtsstreitigkeiten zurück – und übernimmt bei der Grossbank nicht minder heikle Fälle.
Auto-motor-und-sport.de,Lotus mit 4 neuen Plattformen: Emira letzter Lotus mit Verbrenner - auto motor und sport,"Lotus sieht die Zukunft in batterieelektrischen Autos. Deshalb wird der Emira, der im Sommer vorgestellt wird, der letzte Sportwagen mit einem Verbrennungsmotor aus Hethel sein. Bis 2028 will Lotus ein klimaneutraler Konzern werden."
20 Minuten,Mit Gratis-Software - So erbeutete eine Cyber-Gang in fünf Tagen mehr als 250’000 Franken - 20 Minuten,"In ein Netzwerk eindringen, Dateien verschlüsseln und Lösegeld fordern: So ist das Vorgehen der Ransomware-Gangs. Eine Analyse zeigt nun, wie lukrativ das für die Cyberkriminellen ist."
20 Minuten,Kokosnuss- statt Kuhmilch - Deutsche Vegan-Glace will den Schweizer Markt erobern - 20 Minuten,Das Jungunternehmen Nomoo aus Köln will die Nummer eins für pflanzliche Glace werden und verkauft seine Produkte neu bei Alnatura und Globus. Schweizer Hersteller schauen der Konkurrenz gelassen entgegen.
Finews.ch,UBS holt Mike Dargan in die Konzernleitung - finews.ch,"Die UBS hat künftig keinen COO mehr in der Konzernleitung, dafür mit Mike Dargan einen CDIO. Eine weitere Änderung: Markus Diethelm tritt als General Counsel zurück."
Tagesanzeiger.ch,"Chefjurist verlässt UBS - Markus Diethelm räumte nach zahllosen Skandalen auf, jetzt geht er - Tages-Anzeiger","Er sparte der Grossbank viel Geld mit Vergleichen, jetzt hat der UBS-Rechtschef seinen Rückzug angekündigt. Die Hintergründe."
20 Minuten,Rückruf : Achtung! Bei diesem Gasgrill besteht Brandgefahr,"Aldi Suisse hat einen Gasgrill mit einem ausländischen, nicht-konformen Druckregler verkauft. Nun hat der Detailhändler den Grill wegen Brandgefahr zurückgerufen."
finews.ch,UBS-Chefjuristin Barbara Levi: Aktenzeichen ungelöst,Die designierte UBS-Chefjuristin Barbara Levi lässt beim Minenkonzern Rio Tinto einige prominente Rechtsstreitigkeiten zurück – und übernimmt nun bei der Grossbank nicht minder heikle Fälle.
auto motor und sport,"Lotus wird vollelektrisch, Emira letzter Verbrenner",Lotus sieht die Zukunft in batterieelektrischen Sportwagen und Lifestyle-Autos. Der Emira wird der letzte Sportwagen mit Verbrennungsmotor aus Hethel sein.
auto motor und sport,BMW iM2: Elektro-M2 mit über 1.300 PS!?,Zum 50.Geburtstag der M GmbH 2022 legt BMW mit dem iM2 ein elektrisches Coupé auf. Das berichtet das britische Car Magazine.
Inside Paradeplatz,Rechtschef der UBS: Ab durch Hintertür,Markus Diethelm geht nach 13 Jahren von Bord. Der Oberjurist war entscheidend für den Gang der UBS vor ein Pariser Schwarzgeld-Gericht.
Inside Paradeplatz,UBS-Hamers verliert Schlacht gegen Iqbal Khan,"CEO wollte Big Bang, jetzt nur Kosmetik, da VR auf Khan setzt. Dessen Private Banking boomt, dafür verspielt Trading 800 Archegos-Millionen."
20 Minuten,Erstes Quartal : UBS steigert Gewinn trotz Belastung aus Hedgefonds-Pleite,Die Grossbank hat die Zahlen für die ersten drei Monate des Geschäftsjahres vorgelegt.
20 Minuten,"Riga, Lettland : Acht Menschen sterben bei Brand in illegalem Hostel","Am Mittwochmorgen brach in einem Hostel in Riga ein Feuer aus. Acht Personen starben, sechs weitere Menschen mussten ins Spital gebracht werden."
CHIP Online Deutschland,Google Chrome-Nutzer müssen aufpassen: Deswegen sollten Sie ihren Browser jetzt updaten,"Google hat für Chrome ein aktuelles Update ausgerollt. Dieses schließt eine Reihe von Sicherheitslücken, von denen drei als besonders gefährlich eingestuft werden. Nutzer sollten ihren Google-Browser daher schnellstmöglich updaten, um auf Nummer sicher zu gehen."
ecomento.de,Praxisvergleich der Schnellladefähigkeit von Elektroautos,Die P3 Group hat einen Vergleich der Schnellladefähigkeit verschiedener Elektroautos mit Fokus auf die Praxis erstellt.
Business Insider Deutschland,Keine Food-Startups mehr: Frank Thelen über seinen Plan nach DHDL,"Frank Thelen wurde als DHDL-Juror bekannt. Ein Jahr nach seinem Ausstieg zieht er Bilanz. Und erklärt, wie er sich neu erfinden will."
 Cash,Tech-Konzern - Google-Umsatz wächst um ein Drittel - Alphabet-Aktie steigt um 4 Prozent,"Das Werbegeschäft bei Google läuft in der Corona-Pandemie auf Hochtouren. Der Umsatz der Konzernmutter Alphabet stieg im vergangenen Quartal im Jahresvergleich um 34 Prozent auf 55,3 Milliarden Dollar."
Schweizer Radio und Fernsehen (SRF),"Raumfahrt - Was kann Elon Musks SpaceX besser als die Nasa, Thomas Zurbuchen?","Für die Nasa sei die Zusammenarbeit mit Privaten sehr wichtig, sagt deren Wissenschaftsdirektor Thomas Zurbuchen."
20 Minuten,Drogengeld : Deutsche Justiz verliert Bitcoin im Wert von über 22 Millionen Franken,Die deutsche Justiz beschlagnahmte 2017 Bitcoin im Wert von rund 11 Millionen Franken. Diese sind jetzt über 20 Millionen wert – und spurlos im Internet verschwunden.
TechStage,Marktübersicht: Die kleinsten Handys ab 20 Euro,Die kleinsten Handys sind kaum größer als ein Daumen und bieten dennoch Display und Tastatur. Dabei kosten sie teilweise unter 20 Euro. Eine Übersicht.
BTC-ECHO | Bitcoin & Blockchain Pioneers,SEC wehrt sich gegen Ripple-Antrag: XRP antwortet mit Kursrallye,Der XRP-Kurs outperformt am 27. April die Riege der Top-Coins. Unterdessen will die SEC Ripple keine Einsicht in Kommunikationen mit dem Ausland gegeben.
futurezone.at,"Cardano gewinnt 5,7 Millionen neue Krypto-User in Afrika",Die äthiopische Regierung wickelt das Bildungssystem des Landes künftig über das Cardano-Netzwerk ab.
Www.nau.ch,Queen Elizabeth: Hier lächelt sie ihre Trauer um Gatte Philip weg - Nau.ch,Queen Elizabeth trauert um ihren Gatten Prinz Philip. Gestern widmete sich die Königin aber wieder ihren Royal-Pflichten.
Www.nau.ch,Meghan Markle: Trump-Sohn macht sich über sie und Harry lustig! - Nau.ch,Meghan Markle und Harry haben einen 25-Millionen-Deal mit Spotify abgeschlossen – ganz zum Unmut von Musikern. Jetzt gibt Donald Trumps Sohn seinen Senf dazu.
Www.nau.ch,Willi Herren: Fans enttäuscht über seinen TV-Abschied - Nau.ch,Willi Herren wurde letzte Woche tot in seiner Wohnung aufgefunden. Am Montag verabschiedete «Sat.1» den Realitystar – die Fans fanden die Aktion enttäuschend.
Blick.ch,Heidi Klum soll «GNTM»-Konkurrenz von ihrem Vater Günther bekommen - BLICK,Seit 16 Staffeln sucht Heidi Klum Nachwuchsmodels in ihrer Casting-Show «Germany's Next Topmodel». Nun soll diese Konkurrenz bekommen – ausgerechnet von ihrem Vater Günther.
Www.nau.ch,Sängerin Adele zeigt sich erstmals seit Monaten - Nau.ch,Von Sängerin Adele hat man länger nichts mehr gehört. Bei einer Oscar-Party liess es sich die britische Sängerin im auffälligen Look nun gut gehen.
Blick.ch,Harry und Meghan fordern faire Verteilung der Corona-Impfstoffe - BLICK,"In einem Statement fordern Prinz Harry und Herzogin Meghan, dass die Corona-Impfstoffe gerecht an alle Menschen verteilt werden."
Blick.ch,Prinz Harry geschockt vom frostigem Empfang bei seiner Familie - BLICK,Zwischen Prinz Harry und seiner Familie herrschte lange Zeit Funkstille. Bei der Beerdigung seines Grossvaters Prinz Philip trafen die Royals erstmals wieder aufeinander. Das Treffen soll alles andere als warmherzig verlaufen sein.
Www.nau.ch,"Charles will Meghan Markle und Harry loswerden, wenn er König ist - Nau.ch","Sobald Prinz Charles auf dem Thron sitzt, wird es einige radikale Änderungen geben. Meghan Markle und Prinz Harry könnten davon besonders betroffen sein."
Telebasel.ch,International Niemand will Prinz Andrew in «The Crown» spielen - Telebasel,"Prinz Andrew ist in Grossbritannien unbeliebt: So unbeliebt, dass die Macher von «The Crown» Mühe haben seine Rolle zu besetzen."
Blick.ch,Pietro Lombardi zeigt sein neues Luxus-Heim - BLICK,Pietro Lombardi hat sein Traumhaus gefunden. Am Wochenende hat der Sänger die Schlüssel zu seiner neuen Villa bekommen. Und seine Fans mussten nicht lange auf eine Besichtigung warten.
Bluewin.ch,Sogar von uns Schweizern klaut Hollywood unverfroren - bluewin.ch,"Da wird fröhlich geklaut: Hollywood erdreistet sich seit jeher, europäische Kassenschlager neu zu verfilmen. Der jüngst oscarprämierte Film «Der Rausch» scheint nun als Nächstes dran zu sein."
Watson.ch,"Sami, Joe und ich: Die Schweiz hat einen neuen Teenie-Film - watson","Eigentlich wollen die drei Freundinnen in «Sami, Joe und ich» den geilsten Sommer ihres Lebens feiern. Doch was dann geschieht ..."
20 Minuten,«Game of Thrones»-Star Emilia Clarke veröffentlicht feministischen Comic - 20 Minuten,"Die britische «Game of Thrones»-Ikone hat eine dreiteilige Comic-Reihe angekündigt. «M.O.M.: Mother of Madness» handelt von Superheldin Maya, einer alleinerziehenden Mutter."
20 Minuten,"Natascha Kampusch - «Der plötzliche Verlust der Freiheit, damit bin ich gut vertraut» - 20 Minuten",Vor fünfzehn Jahren gelang Natascha Kampusch die Flucht vor ihrem Entführer. In einem Interview spricht die 33-Jährige über ihr Leben.
Watson.ch,Wer wird Millionär: Pfarrer zockt sich bei Günther Jauch zu viel Geld - watson - watson,Bei Günther Jauch sass am Montag ein katholischer Pfarrer auf dem Stuhl. Dieser zockt sich bei «Wer wird Millionär?» kurzerhand zu 32'000 Euro durch.
20 Minuten,«Du weisst es doch besser» - Nicht alle feiern Justin Biebers neue Dreadlocks - 20 Minuten,Justin Bieber hat auf Instagram Fotos seiner neuen Frisur gepostet. Die Dreadlocks des Popstars kommen nicht durchwegs gut an.
Www.nau.ch,Michael Wendler: So reagiert er auf Willi Herrens Tod - Nau.ch,Michael Wendler und Willi Herren waren wüst zerstritten. Eine Woche nach Herrens Tod meldet sich der Schlagerstar auf «Telegram» zu Wort.
BLICK,Wenn Charles König ist: Werden Harry und Meghan als Royals weggespart?,"Herzogin Meghan und Prinz Harry arbeiten nicht mehr für die britische Königsfamilie. Ihre Titel tragen sie dennoch noch. Ist damit Schluss, wenn Prinz Charles auf dem Thron sitzt?"
BLICK,Ronnie Wood: Rolling-Stones-Gitarrist kämpfte heimlich gegen Krebs,Ronnie Wood besiegte vor vier Jahren Lungenkrebs. Nun offenbart der Rolling-Stones-Gitarrist eine zweite Krebserkrankung.
GMX.ch,Aus für Harry und Meghan? Prinz Charles will wohl das Königshaus umstrukturieren,"Angeblich beschäftigt sich Prinz Charles damit, das Königshaus umzustrukturieren. Das würde womöglich den endgültigen Ausschluss von Harry und Meghan bedeuten."
Speedweek.com,Aramco Racing Team VR46 ab 2022 in der MotoGP - SPEEDWEEK.COM,"Das Abkommen zwischen dem Rossi-Rennstall und Tanal Entertainment Sport & Media ist unterzeichnet, das Aramco Racing Team VR46 steht vor dem Debüt in der Königsklasse MotoGP im Jahr 2022."
Blick.ch,Ex-EVZ-Spieler Timo Helbling findet die Schwalbe von Abdelkader lächerlich - BLICK,Für die nötige Härte hat der EVZ Justin Abdelkader engagiert. Doch der Ex-NHL-Spieler lässt sich theatralisch fallen nach einem Treffer von Laker Jelovac. Ex-Zug-Haudegen und MySports-Experte Timo Helbling hat eine klare Meinung dazu.
Blick.ch,"Irre Torquoten, Querflöten-Unterricht und Museen: So tickt Kylian Mbappé - BLICK",Vom Banlieue-Kicker zum Idol eines ganzen Landes: Kylian Mbappés steiler Aufstieg erklärt sich mit seinem unfassbaren Talent und riesiger Leidenschaft. Doch nicht immer in seinem Leben dreht sich alles um Fussball.
Bluewin.ch,"PSG soll Messi ein Angebot gemacht haben, bei dem Barça nicht mithalten kann - bluewin.ch","Paris Saint-Germain soll Superstar Lionel Messi ein Vertragsangebot unterbreitet haben, welches der FC Barcelona laut einer zuverlässigen Quelle nicht matchen kann."
Watson.ch,Transfer-Ticker: BVB will Gregor Kobel als neue Nummer 1 - watson,"Keinen wichtigen Wechsel und kein spannendes Gerücht mehr verpassen: Hol dir jetzt den watson-Transfer-Push! So einfach geht's:
RB Leipzig hat den Nachfolger …"
Blick.ch,Floyd Mayweather und Youtuber Logan Paul steigen in den Ring - BLICK,Der frühere Box-Weltmeister Floyd Mayweather jr. steigt für einen Schaukampf erneut in den Ring.
Watson.ch,Hischier leitet seltenen Devils-Sieg ein – auch Niederreiter trifft - watson,"Nico Hischier, 1 Tor, 1 Schuss, 2 Blocks, 20:31 TOIJonas Siegenthaler im Covid-Protokoll
Nach zehn Niederlagen in Serie dürfen die New Jersey Devils wieder …"
Tagesanzeiger.ch,Neues Buch: So tickt der Tennisstar – Als Federer mit 15 den Sieg über Sampras ankündigte - Tages-Anzeiger,Mathieu Aeschmann trainierte 1995/96 mit Federer im Leistungszentrum in Ecublens. Nun hat der Journalist ein spannendes Buch verfasst: «Handeln und denken wie Roger Federer».
20 Minuten,Rashed Al-Swaisat - 19-jähriger Boxer stirbt nach Verletzungen an Junioren-WM - 20 Minuten,Ein 19-jähriger Boxer aus Jordanien ist im Spital seinen Verletzungen erlegen. Diese zog er sich an den Junioren-Boxweltmeisterschaften in Polen zu.
Eurosport.de,Roger Federer ausgesperrt: Ringer Küng erzählt kuriose Anekdote zum Schweizer Superstar - Eurosport DE,"Roger und Mirka Federer gelten als Traumpaar des Schweizer Sports. Seit über 20 Jahren zusammen, sind die beiden inzwischen Eltern von vier Kindern."
Blick.ch,Kultur-Schock für Federer: Wimbledon verbietet Haus-Miete - BLICK,"Hotelzimmer statt Mietshäuser: Roger Federer (39, ATP 8) wird sich bei seiner Rückkehr nach Wimbledon an ein anderes Ambiente gewöhnen müssen."
